posición,Lenguaje,Total,query
1,Javascript,824,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%javascript%'
2,TypeScript,354,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%typescript%'
3,Python,306,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%python%'
4,Java ,277,"SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like 'java' or otros_lenguajes_trabajo like '%java,%' or otros_lenguajes_trabajo like '%java %'"
5,SQL,230,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%sql%' and otros_lenguajes_trabajo not like '%pl%' and otros_lenguajes_trabajo not like '%tsql%'
6,PHP,199,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%php%'
7,Shell,127,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%shell%'
8,C#,126,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%c#%'
9,Go,88,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%go%'
10,Ruby,71,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%ruby%'
11,Kotlin,69,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%kotlin%'
12,TSQL,62,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%tsql%'
13,.NET,52,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%.net%'
14,Swift,51,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%swift%'
15,Dart,47,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%dart%'
16,C++,44,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%c++%'
17,Objetive-C,38,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%Objective%'
18,Scala,38,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%scala%'
19,Elixir,15,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%elixir%'
20,CSS*,15,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%css%'
21,HTML*,13,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%html%'
22,PL/SQL,8,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%pl%' and otros_lenguajes_trabajo not like '%plataformas%'
23,ABAP,7,SELECT otros_lenguajes_trabajo from encuesta_coldev_2020 where otros_lenguajes_trabajo like '%abap%'